Fecha,Unidades,NombreFeriado,EsFestivo,DiaSemana,DiaMes,Mes,Predicciones
2012-07-19,1515,,0,3,19,7,1123.3043819010531
2012-07-20,23,Día de la independencia,1,4,20,7,15.733333333333333
2012-07-21,325,,0,5,21,7,311.73988071613735
2012-07-22,0,,0,6,22,7,0.6820463592217774
2012-07-23,875,,0,0,23,7,769.58266964651
2012-07-24,1094,,0,1,24,7,992.7478369455537
2012-07-25,1386,,0,2,25,7,1189.848949481176
2012-07-26,1298,,0,3,26,7,1297.8052574767464
2012-07-27,1400,,0,4,27,7,1360.417469008801
2012-07-28,389,,0,5,28,7,467.8689450549452
2012-07-29,1,,0,6,29,7,2.7078651661542965
2012-07-30,1030,,0,0,30,7,1251.860103174603
2012-07-31,1139,,0,1,31,7,1789.4044039995938
2012-08-01,1157,,0,2,1,8,930.682730527151
2012-08-02,1242,,0,3,2,8,1054.765210986692
2012-08-03,1315,,0,4,3,8,1093.7483712186527
2012-08-04,439,,0,5,4,8,336.7686537068601
2012-08-05,0,,0,6,5,8,1.149946513847006
2012-08-06,959,,0,0,6,8,699.5935461632064
2012-08-07,1,Batalla de Boyacá,1,1,7,8,3.098333333333333
2012-08-08,1116,,0,2,8,8,1108.5943897402883
2012-08-09,1359,,0,3,9,8,1140.8800475203193
2012-08-10,1369,,0,4,10,8,1153.9400723934004
2012-08-11,370,,0,5,11,8,314.346130092685
2012-08-12,21,,0,6,12,8,13.030614868300605
2012-08-13,980,,0,0,13,8,842.5786293090403
2012-08-14,1141,,0,1,14,8,982.2168805741791
2012-08-15,1195,,0,2,15,8,1098.8419497620182
2012-08-16,1320,,0,3,16,8,1123.1278830129015
2012-08-17,1235,,0,4,17,8,1128.2422644500132
2012-08-18,365,,0,5,18,8,289.037997459548
2012-08-19,0,,0,6,19,8,0.789420259594241
2012-08-20,0,Asunción de la Virgen,1,0,20,8,0.0
2012-08-21,809,,0,1,21,8,937.4927858711876
2012-08-22,1036,,0,2,22,8,1088.9178087506943
2012-08-23,1223,,0,3,23,8,1125.434754708135
2012-08-24,1113,,0,4,24,8,1145.3573068618077
2012-08-25,490,,0,5,25,8,331.3113318653888
2012-08-26,62,,0,6,26,8,38.24608775645532
2012-08-27,792,,0,0,27,8,940.4093177394169
2012-08-28,1131,,0,1,28,8,1279.4736461663376
2012-08-29,1157,,0,2,29,8,1357.1775352695763
2012-08-30,1296,,0,3,30,8,1587.9480361221829
2012-08-31,1295,,0,4,31,8,1704.1909582100027
2012-09-01,280,,0,5,1,9,247.53141395154555
2012-09-02,1,,0,6,2,9,0.8953711725336293
2012-09-03,829,,0,0,3,9,691.2562894518979
2012-09-04,1008,,0,1,4,9,735.7363946132989
2012-09-05,1035,,0,2,5,9,1047.5667532228986
2012-09-06,1368,,0,3,6,9,1096.6712050373033
2012-09-07,1281,,0,4,7,9,1116.8257377811938
2012-09-08,489,,0,5,8,9,293.14174326242477
2012-09-09,30,,0,6,9,9,10.599720179559613
2012-09-10,1095,,0,0,10,9,841.84161403257
2012-09-11,1204,,0,1,11,9,1013.1446206139461
2012-09-12,1347,,0,2,12,9,1130.288682472398
2012-09-13,1439,,0,3,13,9,1148.1129484726162
2012-09-14,1293,,0,4,14,9,1146.7980595954741
2012-09-15,405,,0,5,15,9,305.5719804408173
2012-09-16,0,,0,6,16,9,3.999929245154076
2012-09-17,930,,0,0,17,9,830.2098229226121
2012-09-18,933,,0,1,18,9,946.3013052613678
2012-09-19,1320,,0,2,19,9,1092.3394378635417
2012-09-20,1353,,0,3,20,9,1121.4160005611539
2012-09-21,1231,,0,4,21,9,1125.7505724933285
2012-09-22,313,,0,5,22,9,300.7373433606457
2012-09-23,41,,0,6,23,9,19.626460539872596
